offset,ExcessCAGR,ExcessSharpe
2515.0,0.08223029831189144,0.46386652799264205
2837.0,0.31349474197171623,0.936062387473257
1832.0,-0.06660461266285245,-0.31011578528428263
1750.0,-0.05437907609808801,-0.2022748335840781
2882.0,0.1977700820653625,0.6724399023430793
863.0,0.1058382026580027,0.6759703089221437
487.0,-0.040819853929308536,-0.37619048011117584
1033.0,0.07056522075189342,0.49142931578633936
2228.0,0.0985863880608242,0.6148092657622288
1132.0,0.08221478346397171,0.519589612428427
757.0,0.08807258942042595,0.7178847566073371
3220.0,0.2293162408942795,0.7439237843312482
3248.0,0.17061569170789892,0.615000458101941
1203.0,0.04906757089661662,0.33252064901614387
703.0,0.03616687747724856,0.7131859984914923
1157.0,0.10697911020717954,0.630612866557806
3301.0,0.2871514618137301,0.8764174339103028
3365.0,0.10769140440937597,0.4637837503557821
897.0,0.06137178656778408,0.4446599040027029
2955.0,-0.02172534918054203,0.1210772846220981
2338.0,0.020230740347215503,0.19933912944278956
2519.0,0.08699616674977362,0.48480685377102856
1972.0,0.03486745137262548,0.8690103698919674
2556.0,0.2774487778901562,1.139923181038962
2915.0,0.03693135591346697,0.2819450148354323
2275.0,0.08806421742746706,0.5453352456245765
2364.0,0.09306837584360794,0.5178899073187573
3160.0,0.26217588689459714,0.7982062848718281
2282.0,0.09071655848484061,0.5485081369472666
1297.0,0.2258317614610601,0.9811316580944375
1282.0,0.23343789831772876,0.9943409080457973
3108.0,0.3658877227387267,1.000282417825211
2613.0,0.5291319143202209,1.6414251746597548
1620.0,-0.014968768876294392,0.07884586622593572
673.0,0.0004382761792169898,0.24510466785691565
1863.0,0.03520169711542653,0.2994824783552691
3466.0,0.08893887483111151,0.4189190102382055
1234.0,0.1469752121240422,0.7569429989493692
3030.0,0.11725054840715221,0.4823738368252563
776.0,0.08919955661498236,0.6947395897464755
2349.0,0.04155477205111424,0.29967627222182264
1303.0,0.37677253145149225,1.443385049689557
2313.0,0.05401490810461751,0.3573157966935445
1063.0,0.037648419727057236,0.31828015301222223
1703.0,-0.19372970038268122,-0.8261158418752281
1231.0,0.11112242239607828,0.6080735861951311
1985.0,0.017105471825171303,0.32097260595650634
2866.0,0.18287029915683028,0.6406349298473514
1543.0,0.17446889639417473,0.6707262252452775
2726.0,0.4893507490225988,1.3361762514817457
3424.0,0.025595803276099893,0.24573821487298186
2265.0,0.14385616224454956,0.8022762462210342
589.0,0.09742979780920691,0.9910774115132269
2196.0,0.07976467236629681,0.5382645584852904
3449.0,0.019801987708558677,0.2252286086775296
1987.0,0.006835522663733107,0.14382368866712986
862.0,0.1086047481731196,0.6909324853462571
2635.0,0.5902194416834436,1.6560587137535403
1813.0,-0.08050028227845818,-0.3764939497554157
1452.0,0.39075164563390175,1.1933725502268107
2819.0,0.28910174040070524,0.8951836683977926
2633.0,0.5617307014002957,1.5996814189681088
3646.0,0.14063942077742664,0.6022221336320924
3066.0,0.41911759738074195,1.1370148306649108
1001.0,0.026703730300635442,0.24559200781256257
3549.0,0.07768875397952058,0.39050699819004553
550.0,0.06537872887948137,1.0654863898873084
1483.0,0.3588406734961671,1.1111730249614444
3565.0,0.05498913234989433,0.32692529675318244
662.0,-0.0029264961548978174,-0.5674201936822681
3048.0,0.08792301040219841,0.41228473104805896
2110.0,0.041006179813081634,0.4175141881799545
1295.0,0.24027741569882344,1.0225569053490327
2432.0,0.04960648028434611,0.3336950103231005
395.0,-0.05304872637398017,-0.17637030448116367
2040.0,-0.03684570830889966,-0.3349462681587952
3167.0,0.2827388566223106,0.8433134935787843
2843.0,0.24165802775891376,0.7772657792332879
558.0,0.06838760857601045,0.919060589052494
1720.0,-0.19992861431309628,-0.9681848336711608
1771.0,-0.08230743249939287,-0.3835962073073237
2342.0,0.06447077712083882,0.4061845679513887
2982.0,-0.03919474264956391,0.05586298912840255
1853.0,-0.04609975105197606,-0.21389571433579777
814.0,0.07850037829342416,0.5739866308152377
1910.0,-0.04042033511801546,-0.22587775029623441
2068.0,0.0594348528360531,0.9586601860188403
1923.0,-0.057901153134894745,-0.47382433257449824
1197.0,0.09175210742600393,0.5325347736406091
3374.0,0.08403566379007721,0.4048001499530381
1645.0,-0.16399016095491648,-0.5821379884573061
2404.0,0.060716007191314425,0.37952296022372234
2247.0,0.07882970574952197,0.5190391323817717
2782.0,0.24538177918303838,0.7928438224964919
1935.0,0.01645508566147913,0.18711241982736873
2563.0,0.2719146880891463,1.0886533894653794
2877.0,0.16537782825413827,0.599248825045433
650.0,-0.012221941566543437,-0.49430264270025887
482.0,-0.033241834217555,-0.27788674680531583
1216.0,0.021587366145543907,0.206952544703099
2054.0,0.04907790614607088,0.6400944903036032
1959.0,-0.03987458250649345,-0.5865784341108294
3197.0,0.39689858590922134,1.0603492350954946
2042.0,0.009644131676609158,0.14651260778158184
3513.0,0.17112866253930026,0.6700761223559639
2435.0,0.06756125634226762,0.41392272555571474
2402.0,0.06677209083368463,0.40588089967361507
3158.0,0.2466983957797413,0.7639482564689412
3099.0,0.38997679246812944,1.0526158563871486
2059.0,0.009060470458619685,0.18110043948267332
1727.0,-0.1686201901988318,-0.8248186506526562
1097.0,0.05659844991004315,0.4018601860908803
1637.0,-0.14636824088231482,-0.48391221101697596
549.0,0.06819609774223423,1.112739493524914
2980.0,-0.026492633949704247,0.09544566852202184
3474.0,0.04804472367392498,0.3067622921581608
1588.0,-0.019930099173012805,0.08696273557018368
3076.0,0.45833806049678927,1.2035756114054308
3077.0,0.4890628891111026,1.2571436024377318
3364.0,0.11645173299895606,0.486375353712569
