asset,candidate,scenario,period,cost_bps,execution_lag_days,TotalReturn,TotalCAGR,TotalSharpe,MaxDD,Calmar,ExcessReturn,ExcessCAGR,ExcessSharpe,AnnTurnover,Trades,TimeInMarket,NPeriods
ETH,scaled_onchain_ma200,base_lag1,early,20.0,1,51.67363065941947,1.6921776962912327,1.6613538284497607,-0.6909457132062591,2.4490747448723065,48.993738094344735,1.6572853401027792,1.6443689563693968,4.496919917864476,29,0.4657768651608487,1461
ETH,scaled_onchain_ma200,base_lag1,middle,20.0,1,3.6289726999579424,0.6665878313771212,1.1150803322270324,-0.5929483714373109,1.1241920266368346,3.3141013360150486,0.6279089620645752,1.0784551155644972,4.166666666666667,14,0.5575342465753425,1095
ETH,scaled_onchain_ma200,base_lag1,recent,20.0,1,0.29596929438070396,0.10698804865105815,0.5597504291074752,-0.20497112336226797,0.5219664453024753,0.16104498880658813,0.06028879144107613,0.37031913193726623,3.7244897959183674,19,0.22932330827067668,931
ETH,scaled_onchain_ma200,base_lag1,full,20.0,1,314.989451844404,0.8266359103572323,1.2693050552840544,-0.6909457132062591,1.1963832969182449,249.41192182451672,0.7826990196658283,1.2303529340615482,4.186980212216805,62,0.43145970748494406,3487
ETH,scaled_onchain_ma200,base_lag2,early,20.0,2,50.14674767724635,1.6724654555288878,1.6469187510023031,-0.7320361409632402,2.284676072588706,47.54418718966694,1.6378238093281245,1.6300271572872815,4.496919917864476,29,0.4650924024640657,1461
ETH,scaled_onchain_ma200,base_lag2,middle,20.0,2,2.8370667210364595,0.5655482257697058,1.0168400149979324,-0.6037367783675529,0.9367463537651203,2.5760331875407525,0.5292101790925319,0.9803081484276766,4.166666666666667,14,0.5579908675799087,1095
ETH,scaled_onchain_ma200,base_lag2,recent,20.0,2,0.2886324598665304,0.10452683607142887,0.5482026302615556,-0.20058706313531505,0.5211045739321463,0.15446863084105122,0.05793019774359065,0.35981978866616177,3.7244897959183674,19,0.22986036519871106,931
ETH,scaled_onchain_ma200,base_lag2,full,20.0,2,251.89860907319334,0.7845438746917155,1.2293822081901213,-0.7320361409632402,1.0717283352422786,199.41070288160577,0.7416161073678456,1.1906101200194275,4.186980212216805,62,0.43145970748494406,3487
ETH,scaled_onchain_ma200,stress_lag1,early,40.0,1,49.808730502320635,1.6680420691776852,1.6495832717219003,-0.6988688105979461,2.3867742327068835,47.22366095085226,1.6334617337713926,1.6325999016590986,4.496919917864476,29,0.4657768651608487,1461
ETH,scaled_onchain_ma200,stress_lag1,middle,40.0,1,3.5155106584945353,0.65285830353742,1.1022422942386674,-0.5969559591232331,1.0936456761337845,3.208352788752414,0.6144975114675493,1.0656142355487865,4.166666666666667,14,0.5575342465753425,1095
ETH,scaled_onchain_ma200,stress_lag1,recent,40.0,1,0.27157982239018374,0.09877326006116616,0.5270022704067348,-0.21054380656460137,0.4691340090826156,0.1391921043349933,0.05241960261703116,0.3375741902307107,3.7244897959183674,19,0.22932330827067668,931
ETH,scaled_onchain_ma200,stress_lag1,full,40.0,1,290.73520692908215,0.8114297152647738,1.255946148312954,-0.6988688105979461,1.1610615654324614,230.1901268669722,0.7678577440720697,1.2169954102176705,4.186980212216805,62,0.43145970748494406,3487
ETH,price_trend_ma200,control,early,20.0,1,95.78053200087604,2.1340592441322523,1.6957249082716352,-0.7836542200812912,2.7232154047621653,90.85660069201026,2.0934398328124644,1.681577868340465,6.745379876796714,27,0.6016427104722792,1461
ETH,price_trend_ma200,control,middle,20.0,1,4.133377091685338,0.7250474919849417,1.1609360240789042,-0.5929483714373109,1.2227835118720733,3.7842542238282313,0.6850187958618252,1.1248529422011906,4.666666666666667,14,0.5872146118721461,1095
ETH,price_trend_ma200,control,recent,20.0,1,0.4709345471004849,0.16333617519639199,0.5585547924543469,-0.3882452731887839,0.42070357703226935,0.3177923681581454,0.11425912239283198,0.46260938177412286,6.664876476906552,17,0.45542427497314714,931
ETH,price_trend_ma200,control,full,20.0,1,729.7764131124602,0.9941840029158071,1.3012627118303106,-0.7836542200812912,1.268651373832552,578.1240577428114,0.9462191933379167,1.2682549578302142,6.0711213077143675,58,0.5580728419845139,3487
ETH,buy_hold,control,early,20.0,1,89.94214537717278,2.0857172147840806,1.5732362451677004,-0.9399844090352256,2.2188849035536706,85.30774040133815,2.045658096938535,1.5613167017486826,0.0,0,1.0,1461
ETH,buy_hold,control,middle,20.0,1,2.0838917529123964,0.4555698185648218,0.867682216768086,-0.7936483452638049,0.5740197422239853,1.8740648832563744,0.42177930812831543,0.8394288959934819,0.0,0,1.0,1095
ETH,buy_hold,control,recent,20.0,1,-0.17967849721067197,-0.0747111458885713,0.2281922457352509,-0.6761572240726577,-0.11049374794602962,-0.26515771634719465,-0.11378070073525282,0.16559990286798493,0.0,0,1.0,931
ETH,buy_hold,control,full,20.0,1,229.06386763923587,0.766954289505108,1.0766527804571386,-0.9399844090352256,0.8159223516188837,181.28060151489342,0.7244153835398408,1.0502037185131452,0.0,0,1.0,3487
