trading_day_of_month,SPY,QQQ,RSP,IWM,n
1,25.159280247765867,30.855881379693074,20.707688756319282,20.235922232682938,72
2,0.2380491281322851,4.148618921035756,-0.07781679351406834,-2.68850809217865,72
3,17.228923375598033,22.335535146414568,16.53828029987157,5.438356239380634,72
4,15.751919055103185,20.420711912396445,15.919229369460364,5.303207036611024,72
5,-11.144093398024006,-6.224658884267438,-18.74665207579969,-18.74857957550158,72
6,6.468091798043378,9.924374099872681,11.567868305377026,7.484464619767021,72
7,3.8707332555509533,9.3929363674872,1.2825139999897892,0.9322252981992796,72
8,0.7675791965491069,5.507717179242301,-0.23252632950771884,8.180747914705561,72
9,18.37516105056848,23.71280540504771,11.544189924217092,6.904492146725101,72
10,4.943712946878216,4.547379854903635,7.958406169087292,0.8801063832321321,72
11,0.7164649160877921,8.563894491922428,4.654872278791636,6.193413138938154,72
12,18.820867151997547,28.996672500700626,18.4887802084842,20.628410399134435,72
13,10.072206700268026,5.287520225887345,5.1703698055934355,-0.6015033435008421,72
14,-1.0540337777473516,-12.541980574389173,4.294282753689701,3.251771020251744,72
15,18.558682379611707,30.467090555972636,20.920278828241713,21.731049652176264,72
16,7.645350093175405,8.127442504638575,11.73767955778407,11.946031956575712,72
17,-1.532018765076668,1.3754235801865153,-1.256511418866272,1.944314964482046,72
18,-9.041532052698429,-5.10297565029826,-9.826042373443876,-15.714650520728926,72
19,-2.3090042923076197,-10.440902781191225,-8.141006971328496,-14.645307187695911,72
20,23.63214163462598,27.149572296369858,26.105698948292343,20.67369230196929,67
21,-6.774967301228907,-3.7660764698490556,-0.3421335312172369,-16.96115344508391,50
22,-17.114182646295664,-7.3011324378877145,-14.596739068821362,-10.494184555631946,20
23,54.181454808857985,85.30452537423109,70.62848854068382,105.48551523687463,6
