scenario,period,CAGR,ExcessCAGR,Sharpe,MaxDD
base,validation,0.07252237592694,0.06358666122887979,0.7569007401284633,-0.1251037940151558
base,holdout,0.10181585643335223,0.06215809027164476,0.9675758924562745,-0.11305266105639677
IV -10%,validation,0.06051283826356291,0.0515771235655027,0.5822212917031453,-0.13731436361390703
IV -10%,holdout,0.056424698383282124,0.01676693222157466,0.5347295883252222,-0.20119292824442248
IV +10%,validation,0.08978550012899666,0.08084978543093646,0.959003722738456,-0.1344334237326068
IV +10%,holdout,0.1048988725047324,0.06524110634302493,1.1046212489835139,-0.10799467362626936
2x spread haircut,validation,0.06738803256782777,0.05845231786976757,0.7166073318081927,-0.12592361849407285
2x spread haircut,holdout,0.07594740284593748,0.03628963668423002,0.6877495035683624,-0.13104532638520272
10% entry haircut,validation,0.07252237592694,0.06358666122887979,0.7569007401284633,-0.1251037940151558
10% entry haircut,holdout,0.10181585643335223,0.06215809027164476,0.9675758924562745,-0.11305266105639677
